Variable:,pr
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
1988,751.22,662.55,550.22,840.45,623.35,732.84,1276.77,689.08,824.15,989.05,732.87,544.48,976.98,464.85,583.50,581.84,682.58,918.67,751.66,1456.49,787.25
1989,728.30,843.95,578.14,651.95,649.94,755.53,1311.03,807.55,701.05,898.76,798.08,652.63,794.00,510.91,522.75,421.53,702.95,893.99,832.66,1121.28,861.92
1990,797.45,725.45,559.73,818.04,659.24,838.99,1376.32,798.30,894.80,984.00,719.66,600.81,941.59,461.61,752.97,589.56,836.56,934.05,782.94,1383.22,783.84
1991,795.84,880.98,518.18,755.60,652.55,864.45,1288.10,916.14,876.58,884.43,974.05,630.26,886.23,450.93,689.07,579.72,856.99,836.10,1005.00,1195.42,838.98
1992,824.97,820.58,526.90,669.05,626.60,895.78,1352.52,860.85,982.45,1111.13,891.48,600.62,1064.56,443.04,717.35,491.77,841.36,1006.19,890.03,1468.10,855.52
1993,780.54,706.83,603.81,839.42,671.84,768.58,1225.22,755.15,879.88,1021.06,777.52,565.51,1000.27,508.54,737.01,513.93,728.67,936.42,748.39,1434.44,738.21
1994,779.19,732.43,575.13,776.57,633.15,847.87,1275.14,728.60,1035.73,1115.70,724.99,569.95,1150.08,474.27,484.93,498.27,690.63,905.35,720.65,1585.96,820.88
1995,840.14,872.49,780.60,958.14,828.73,839.27,1497.05,844.55,906.39,1011.18,879.68,736.45,1027.60,674.57,500.50,543.24,733.14,964.88,835.17,1510.65,1007.78
1996,1040.31,1032.10,883.02,1220.65,1006.56,1074.80,1623.42,1084.80,1122.26,1222.99,1088.77,869.94,1123.00,752.59,890.78,747.73,971.57,1110.53,1103.52,1534.23,1107.03
1997,754.46,715.32,573.96,825.08,677.39,743.34,1245.18,771.62,796.88,914.35,800.10,580.73,878.15,476.78,720.10,565.50,706.93,854.38,783.00,1279.86,763.25
1998,772.24,844.40,641.76,862.78,759.18,732.37,1394.45,863.96,764.53,945.36,861.68,687.00,852.76,550.73,539.46,476.11,721.14,965.21,857.47,1200.99,769.72
1999,830.91,787.92,551.54,757.27,608.11,875.20,1373.45,814.43,949.20,1171.96,894.59,579.41,1080.97,518.50,605.57,500.72,812.76,1130.28,885.66,1626.42,851.68
