Variable:,pr
,Latvia,Aizkraukles,Aluksnes,Balvu,Bauskas,Cesu,Daugavpils,Dobeles,Gulbenes,Jekabpils,Jelgavas,Kraslavas,Kuldigas,Liepajas,Limbazu,Ludzas,Madonas,Ogres,Preilu,Rezeknes,Rigas,Saldus,Talsu,Tukuma,Valkas,Valmieras,Ventspils
1977,679.19,674.81,626.49,613.82,652.28,719.14,646.03,701.00,644.29,666.06,667.85,625.33,763.41,779.36,692.01,628.39,657.75,680.14,625.87,615.90,677.85,754.79,696.36,694.56,683.97,687.29,730.78
1978,762.56,761.57,752.76,732.45,720.35,839.24,732.10,746.70,769.11,760.74,726.12,718.68,782.34,797.01,801.45,733.21,776.08,760.53,724.38,721.72,760.69,788.93,740.38,745.31,808.36,802.17,757.92
1979,657.46,687.65,589.42,583.30,656.21,668.88,644.46,701.30,605.22,687.32,662.10,608.27,732.50,754.77,636.78,593.50,649.06,676.11,641.26,596.44,653.82,741.90,652.26,681.73,634.32,633.79,683.01
1980,771.59,821.51,635.50,617.05,808.20,788.82,740.74,862.48,675.58,788.75,815.68,670.46,901.65,931.26,756.82,622.05,735.97,835.44,725.72,648.20,804.53,914.60,802.37,840.07,710.17,734.95,837.22
1981,809.10,792.99,718.56,685.09,776.30,863.76,714.60,880.56,745.76,759.48,821.59,666.45,970.10,992.58,845.05,666.51,757.36,824.79,710.18,673.60,828.94,957.54,874.65,873.85,815.38,839.44,922.30
1982,563.34,561.88,571.39,571.07,520.51,584.95,586.37,530.85,585.47,581.66,513.04,575.76,564.63,568.78,552.07,575.95,595.16,545.74,570.87,574.84,530.29,562.05,532.87,533.21,589.29,563.05,558.57
1983,700.61,716.84,647.00,617.65,696.03,743.48,658.03,746.42,674.46,702.76,711.23,614.43,775.96,794.15,723.27,604.58,687.65,724.61,663.77,617.05,711.90,783.87,684.64,721.32,720.37,727.02,716.86
1984,631.47,636.25,559.95,540.58,613.40,664.02,584.45,653.52,579.69,617.05,637.06,558.06,730.34,733.85,646.60,551.37,604.02,645.33,584.69,551.55,641.74,698.05,677.26,659.01,629.20,648.31,723.07
1985,748.72,749.55,727.21,707.94,716.47,806.11,718.08,753.00,745.55,747.42,726.71,706.27,791.06,811.73,755.65,716.36,754.25,757.17,722.88,706.33,748.70,797.27,725.37,741.19,773.70,753.57,750.16
1986,719.46,734.16,690.68,672.18,710.31,779.87,679.33,735.90,723.20,731.74,702.86,639.33,773.35,790.93,732.45,657.10,734.56,721.49,688.19,657.45,712.24,779.80,688.58,721.29,741.05,736.00,720.13
1987,679.08,665.92,703.57,689.90,631.91,708.79,670.75,664.78,706.14,680.38,636.27,679.32,697.63,733.78,673.59,700.38,694.53,649.64,661.75,675.79,647.93,708.05,627.40,649.94,708.90,678.79,659.01
1988,678.99,646.22,668.39,645.95,621.43,707.33,635.28,692.37,670.32,643.86,655.86,635.28,758.22,765.55,683.48,642.82,663.91,655.09,633.85,627.35,663.39,747.12,710.77,702.55,703.13,684.84,743.67
1989,669.55,668.00,648.26,648.48,626.93,672.31,712.31,657.02,658.30,690.35,622.26,712.07,701.97,730.49,630.54,686.63,687.46,647.47,687.16,677.56,628.88,706.34,634.78,648.30,664.51,634.73,669.34
1990,847.84,851.95,820.87,818.07,804.22,898.23,796.89,850.18,839.56,849.27,800.39,791.03,913.47,939.93,852.72,827.94,865.38,852.36,809.09,801.46,826.84,914.72,830.30,847.46,842.74,850.48,871.15
1991,674.57,665.09,656.23,628.52,625.61,732.20,604.71,691.26,673.83,644.43,646.85,598.59,737.95,738.10,705.69,614.49,678.32,693.01,620.01,616.99,677.84,734.48,683.05,696.29,714.04,709.10,702.56
