Variable:,pr
,Croatia,Bjelovar-bilogora,Dubrovnik-neretva,"Grad Zagreb",Istra,Karlovac,Koprivnica-krizevci,Krapina-zagorje,Lika-senj,Medimurje,Osijek-baranja,Pozega-slavonija,"Primorje-gorski Kota",Sibenik,Sisak-moslavina,"Slavonski Brod-posav",Split-dalmatija,Varazdin,Virovitica-podravina,Vukovar-srijem,Zadar-knin,Zagreb
1975,987.91,783.82,936.47,961.84,1156.29,1218.57,760.71,976.70,1332.43,827.89,665.25,811.77,1429.26,1004.33,929.42,798.01,957.08,888.45,736.66,701.27,1089.31,948.16
1976,1169.81,829.54,1449.39,1071.37,1335.83,1466.32,775.35,992.12,1646.23,828.19,689.43,891.16,1646.39,1363.84,1085.65,879.26,1363.24,895.16,781.65,711.76,1425.55,1049.88
1977,1052.36,845.27,1148.92,1094.86,1179.48,1372.94,775.39,954.06,1379.14,817.18,685.22,871.92,1465.85,1024.53,1075.14,859.89,1043.45,876.90,757.20,733.60,1113.98,1071.82
1978,1058.72,742.31,1406.93,978.15,1249.25,1285.09,701.89,904.92,1487.78,759.52,629.30,783.36,1511.88,1250.83,937.64,776.06,1250.69,821.60,667.48,707.65,1289.15,955.82
1979,1154.99,894.48,1460.97,1186.32,1347.21,1447.37,874.54,1177.04,1539.16,972.14,678.80,870.04,1655.85,1226.09,1091.44,853.29,1241.07,1056.82,799.46,696.22,1293.42,1153.91
1980,1187.76,928.58,1365.25,1188.51,1227.64,1512.46,848.28,1091.94,1619.68,902.91,754.98,979.45,1600.03,1252.50,1177.48,965.00,1239.76,979.64,863.78,802.39,1344.75,1162.40
1981,1138.09,889.11,1263.58,1129.37,1285.44,1452.04,807.18,1007.26,1516.35,850.86,751.48,934.80,1613.18,1162.55,1123.60,924.27,1171.84,918.05,820.70,803.85,1240.83,1109.24
1982,1015.09,817.70,1121.16,1071.23,1148.25,1315.88,773.09,1052.24,1292.48,854.33,624.75,818.83,1405.54,1045.53,1005.79,805.38,1043.32,933.65,725.58,657.78,1084.05,1045.07
1983,817.58,655.64,818.57,864.39,868.13,1038.97,632.30,824.99,1102.19,692.99,541.45,682.54,1106.01,821.67,813.79,674.64,784.58,750.03,589.70,559.34,870.92,843.75
1984,1197.97,919.97,1295.95,1209.62,1388.10,1540.68,859.61,1070.84,1698.93,907.18,729.91,932.70,1738.74,1228.98,1167.14,917.15,1201.22,970.55,841.92,727.33,1365.17,1179.94
1985,956.68,781.89,1177.30,1004.56,973.01,1173.21,785.38,1040.40,1170.89,873.85,644.45,799.52,1226.28,1001.73,919.25,788.01,1054.05,944.17,721.04,683.72,1000.77,979.27
1986,1013.13,832.06,1167.67,1070.23,1052.56,1264.69,779.67,1042.50,1337.40,853.62,632.61,832.40,1340.88,1063.31,1004.90,819.33,1053.69,935.11,732.53,652.01,1109.42,1043.88
1987,1078.18,904.02,1185.31,1156.10,1217.57,1362.20,894.09,1134.06,1356.44,972.60,724.83,884.07,1496.24,1031.64,1067.21,865.03,1048.72,1041.40,833.08,736.51,1098.77,1129.15
1988,951.74,759.61,1125.91,1002.43,1012.08,1201.75,728.92,970.59,1248.70,806.65,586.02,767.28,1274.02,992.51,951.41,755.39,1005.39,878.81,679.78,592.84,1034.32,978.06
1989,935.89,840.01,900.53,1007.79,1002.29,1215.53,785.93,1018.37,1134.30,847.35,663.68,854.02,1246.11,833.31,982.08,838.75,811.40,918.51,761.72,701.28,890.73,992.97
1990,900.19,700.78,938.51,941.87,1081.23,1154.15,690.67,967.01,1196.71,779.73,546.59,684.59,1345.05,901.81,867.60,669.82,890.08,852.36,638.60,546.19,979.48,918.57
1991,1058.93,872.12,1181.07,1061.13,1035.75,1239.26,836.61,1050.44,1330.32,901.74,785.72,983.23,1325.05,1076.00,1051.26,972.42,1115.99,961.36,857.26,817.62,1115.69,1038.23
1992,1045.65,810.77,976.67,1041.09,1266.02,1383.30,749.73,955.81,1479.50,790.32,666.56,836.16,1612.33,1019.86,1008.25,822.66,947.18,846.38,764.20,671.50,1136.15,1016.49
1993,1088.50,903.73,1034.72,1124.24,1226.54,1426.23,821.54,990.07,1499.60,843.35,687.12,887.63,1596.49,1061.04,1123.40,868.21,981.68,892.76,817.59,659.69,1188.00,1103.71
1994,1009.01,878.24,991.81,1107.73,1057.12,1316.00,833.88,1093.09,1316.25,908.32,634.52,837.01,1340.14,978.44,1033.63,818.72,953.81,986.61,777.97,619.61,1040.90,1085.79
1995,1246.07,942.84,1387.56,1230.84,1450.55,1573.75,903.32,1097.60,1691.89,949.53,788.01,1005.04,1795.83,1317.92,1180.95,991.90,1321.66,1003.67,900.21,806.97,1385.92,1200.11
1996,1225.62,942.81,1506.24,1200.08,1427.88,1506.27,866.41,1129.91,1617.36,931.21,757.50,985.77,1729.64,1337.95,1153.17,970.49,1373.42,1013.32,876.96,802.38,1394.35,1173.52
1997,1036.52,794.85,1071.00,1018.63,1167.45,1357.43,731.56,960.75,1442.92,788.21,647.34,824.71,1501.62,1060.18,1021.27,814.88,1025.55,855.72,719.13,696.00,1154.60,997.55
1998,1128.46,982.88,1151.19,1211.37,1209.51,1442.64,934.45,1163.68,1419.99,1007.75,767.72,985.84,1529.82,1067.74,1143.35,962.92,1072.14,1087.16,906.61,741.10,1136.73,1186.42
1999,1205.43,974.72,1380.32,1206.52,1204.32,1485.46,884.14,1112.84,1557.27,933.88,840.49,1046.75,1552.53,1264.69,1177.59,1035.83,1314.86,1009.55,917.69,902.30,1313.94,1181.08
2000,928.17,630.51,1043.41,932.69,1160.97,1312.23,638.04,873.28,1370.20,702.44,436.85,625.59,1469.90,998.39,899.36,614.52,952.96,759.96,539.64,436.91,1081.05,908.96
2001,1076.72,859.75,1229.49,1094.32,1060.59,1341.07,718.37,938.62,1415.86,754.96,758.63,944.58,1359.72,1133.81,1102.78,949.90,1134.69,832.89,795.86,826.47,1175.09,1068.98
2002,1199.82,926.26,1221.04,1146.44,1361.10,1564.67,839.01,1083.90,1692.79,898.88,706.14,986.22,1738.02,1259.99,1189.41,968.41,1193.94,986.60,845.02,729.85,1386.59,1128.24
2003,798.35,631.72,983.70,804.23,886.67,963.14,579.88,739.75,1042.05,618.91,545.31,659.60,1099.49,830.36,761.85,653.06,842.94,669.14,590.84,575.95,893.72,783.05
2004,1199.28,955.61,1443.68,1213.79,1345.08,1509.28,849.01,1105.00,1540.12,899.75,809.33,1007.77,1680.34,1215.53,1160.33,1000.34,1272.27,982.99,902.77,855.41,1277.99,1181.91
2005,1197.81,964.50,1444.94,1166.60,1207.38,1467.53,884.61,1118.84,1557.40,948.02,813.23,1014.49,1566.00,1282.70,1156.47,1003.88,1312.67,1025.91,900.26,858.20,1355.05,1148.08
2006,947.28,758.16,1036.20,952.81,1030.58,1230.98,691.71,912.23,1251.38,745.13,637.23,788.78,1318.33,949.35,940.39,782.70,934.91,811.69,694.31,689.76,992.09,935.24
2007,1048.48,884.75,1166.84,1112.12,1091.92,1352.33,818.20,1048.29,1343.68,882.32,701.84,885.00,1404.58,1012.78,1068.17,876.30,1034.67,959.52,790.15,733.31,1073.02,1089.22
2008,1058.59,799.42,1258.43,1092.18,1232.88,1374.59,769.71,1001.09,1414.77,829.30,653.75,809.01,1528.66,1100.71,1019.38,795.83,1128.24,890.49,726.64,678.26,1151.26,1062.55
2009,1141.27,907.78,1430.80,1189.04,1236.25,1457.77,880.65,1133.21,1480.62,956.38,714.80,902.68,1561.44,1181.26,1114.67,889.49,1234.25,1029.34,817.84,739.07,1217.33,1160.06
2010,1352.65,1038.37,1721.48,1287.50,1374.72,1614.74,980.99,1220.81,1761.49,1052.30,953.49,1130.33,1737.16,1507.22,1269.24,1120.23,1560.30,1127.80,996.64,1020.09,1541.88,1263.82
2011,760.43,601.31,932.58,774.68,845.05,988.50,584.72,771.96,997.15,646.47,468.17,617.82,1046.41,766.66,758.46,610.49,795.41,700.01,536.43,499.46,798.22,760.52
2012,994.14,808.15,1115.62,1031.10,1149.98,1247.36,791.71,1010.01,1292.23,873.69,606.35,795.59,1398.36,997.83,973.74,780.95,1030.89,940.66,722.95,630.33,1052.14,1011.39
2013,1252.99,942.29,1508.82,1275.33,1391.08,1598.71,900.22,1189.17,1702.23,984.43,720.58,964.71,1739.66,1364.75,1215.69,954.36,1388.34,1066.96,832.29,773.23,1428.50,1241.76
2014,1467.65,1202.88,1510.76,1531.05,1564.49,1886.94,1112.07,1421.22,1930.94,1184.41,938.50,1258.33,1969.81,1476.88,1485.60,1240.92,1448.13,1279.11,1093.91,1002.79,1570.39,1496.03
2015,1074.47,894.47,1151.07,1111.37,1157.32,1363.67,852.13,1076.93,1408.69,918.07,681.58,885.78,1486.85,1084.96,1056.01,863.62,1068.99,987.31,812.42,684.24,1179.75,1090.22
2016,1197.94,1018.79,1226.77,1253.52,1346.78,1512.73,1006.85,1279.01,1512.37,1099.97,820.24,1000.13,1667.94,1126.11,1188.28,978.63,1122.13,1185.87,940.94,825.48,1196.65,1232.59
2017,1028.21,886.61,1048.96,1093.19,1148.93,1338.32,870.17,1120.61,1321.42,944.78,660.71,841.93,1465.52,950.08,1024.89,817.31,948.66,1019.31,803.96,654.45,1027.34,1073.49
2018,1080.57,902.22,1113.31,1118.61,1097.70,1375.70,867.75,1078.62,1423.72,929.39,704.16,914.57,1457.03,1072.46,1088.58,893.35,1058.34,995.22,830.83,726.19,1150.71,1096.60
2019,1250.94,1006.96,1425.58,1281.38,1329.75,1612.63,947.31,1203.08,1684.73,1013.68,742.27,1002.03,1731.13,1301.93,1248.50,982.52,1296.75,1089.10,892.64,779.97,1394.01,1253.74
2020,1082.70,921.80,1114.09,1153.87,1263.58,1394.20,908.04,1195.32,1389.89,995.63,667.00,868.17,1529.30,1041.53,1072.74,842.74,1021.75,1078.71,811.62,670.65,1127.54,1132.09
2021,1040.53,818.70,1235.05,1054.06,1083.25,1325.19,757.54,985.05,1372.22,815.86,658.27,866.16,1390.63,1089.95,1033.66,852.32,1130.59,880.06,753.63,694.34,1132.73,1029.76
