Variable:,pr
,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,"Administrative unit not available","Administrative unit not available",Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,"La Trinite","Le Marin",Saint-Pierre
1960,1056.07,835.81,1251.35,1024.06,1029.56,918.22,1231.21,842.81,896.69,1022.91,1149.64,925.05,756.43,1018.02,1188.83,965.08,1117.46,893.85,993.40,800.26,1088.21,1278.11,1276.10,3011.91,2525.71,2530.22,1072.80,1441.82,1427.93,2225.31,2154.31,1899.04,2341.40
1961,780.82,718.79,955.25,716.26,738.68,680.32,935.18,610.88,784.86,703.71,899.29,646.53,553.36,685.20,849.62,868.95,785.52,776.76,735.86,676.18,789.14,874.02,861.75,2425.29,1989.84,2177.81,1483.60,1820.68,1858.86,2124.85,2064.39,1854.29,2223.70
1962,767.57,591.99,955.34,723.91,719.69,672.98,881.46,610.92,706.19,724.97,849.83,615.49,529.29,833.32,902.20,739.37,951.59,662.16,701.82,601.31,763.92,775.67,807.92,2403.41,2026.54,2288.88,1212.60,1643.97,1678.11,2200.83,2133.32,1895.22,2311.20
1963,899.11,728.14,1070.87,890.17,791.00,741.28,924.27,682.83,719.12,802.63,1010.82,709.27,595.33,1067.76,1000.97,778.30,1107.22,669.49,776.81,620.65,860.01,1184.93,1114.72,3118.16,2519.58,2201.51,1160.30,1111.52,1122.64,2161.06,2106.66,1936.41,2250.00
1964,727.80,567.18,887.62,710.25,715.08,535.45,810.62,540.67,580.04,797.64,710.95,644.15,493.63,852.23,801.18,635.91,921.85,687.61,650.87,602.51,700.25,839.76,839.32,1890.95,1631.32,2128.66,1228.30,1174.20,1179.23,2103.47,2040.40,1820.30,2206.60
1965,1001.99,949.91,1199.07,985.86,961.34,977.27,1081.35,877.45,1009.19,676.88,1274.95,881.99,793.40,899.29,1217.37,1099.23,1001.25,879.64,948.97,848.57,1063.22,852.43,1109.96,2610.60,2082.17,2173.32,1604.50,2005.22,2050.08,1997.61,1940.37,1745.66,2091.20
1966,952.04,849.68,1192.25,836.22,993.80,832.20,1148.53,810.25,949.91,874.99,1066.21,899.79,759.54,765.13,1099.24,1023.32,950.60,953.12,959.97,868.73,1039.76,909.40,953.25,2805.23,2345.52,2647.04,1087.60,1079.97,1083.85,2972.42,2903.38,2674.05,3085.30
1967,732.42,748.90,869.24,686.02,827.22,712.68,956.80,631.37,761.46,566.83,932.23,736.97,595.31,558.06,824.91,879.29,699.05,683.38,721.25,644.45,748.75,510.25,767.19,3206.05,2619.58,2372.94,1159.30,1336.87,1359.71,2531.46,2455.73,2173.57,2655.30
1968,925.02,924.31,1081.23,947.68,798.86,922.90,890.19,745.03,853.82,770.09,1180.97,750.30,692.63,904.38,1069.72,958.33,1009.87,743.02,754.35,709.60,860.60,1064.05,1132.44,3241.11,2778.92,2101.50,1444.50,1560.09,1594.54,2053.67,1989.67,1759.18,2158.30
1969,853.92,748.87,1143.40,845.56,743.28,703.25,873.52,633.05,722.03,846.29,923.62,684.21,581.74,985.26,988.56,797.82,1109.44,762.29,708.02,655.96,821.94,924.86,932.24,2677.82,2297.15,2586.32,1581.20,1379.28,1413.26,2582.74,2514.87,2276.83,2693.70
1970,821.48,851.67,873.81,817.09,823.16,831.52,934.75,666.53,863.45,539.68,1116.87,744.18,640.21,735.18,911.42,978.34,775.61,718.46,734.44,684.30,770.17,775.66,1006.22,3702.86,3088.91,2697.55,1298.00,1444.45,1446.18,2865.80,2787.28,2503.94,2994.20
1971,791.22,563.84,1103.32,852.74,639.07,605.30,751.03,587.22,595.47,735.66,738.01,592.37,503.07,1001.49,973.00,613.37,1109.42,597.33,635.63,547.15,756.09,949.78,925.06,3590.21,2992.23,2153.18,1391.40,1154.09,1173.19,1997.50,1939.88,1738.43,2091.70
1972,863.30,678.23,1035.83,827.83,774.20,693.53,937.67,639.56,736.95,886.14,837.18,694.36,626.11,1051.84,891.07,768.48,1090.67,664.65,700.08,668.11,739.19,1231.12,1011.18,3177.16,2752.99,2329.85,1420.20,2038.79,2052.46,2344.19,2268.96,1991.09,2467.20
1973,714.55,677.51,886.99,698.44,625.09,641.18,705.62,591.68,670.95,630.73,825.18,594.69,549.53,674.42,834.14,709.70,763.44,595.93,620.07,567.57,711.45,860.87,832.20,3139.54,2693.43,1704.83,1670.10,1420.52,1432.44,1532.93,1498.58,1391.93,1589.10
1974,894.57,743.19,1083.56,850.42,929.74,780.04,1053.37,697.73,876.87,678.79,990.32,876.74,708.59,851.13,967.14,912.41,960.19,940.90,785.89,842.05,835.80,940.09,993.70,2950.73,2422.14,2117.05,1486.10,1672.56,1723.32,1992.31,1930.66,1704.45,2093.10
1975,824.11,764.26,936.63,847.99,723.10,758.91,781.69,686.81,714.96,843.19,971.65,733.68,640.25,784.79,928.00,776.76,861.34,756.64,715.23,676.03,795.55,1017.27,1030.05,3045.23,2657.21,2326.44,1204.40,1273.80,1294.06,2259.09,2204.34,1994.65,2348.60
1976,756.72,574.72,992.35,796.56,591.78,603.47,720.48,525.44,541.76,946.45,776.42,525.80,421.54,878.05,908.50,610.58,886.09,555.44,607.02,465.83,759.63,1166.68,984.03,3704.58,3070.25,2113.31,1496.70,1671.02,1705.41,2156.87,2099.48,1884.06,2250.70
1977,1010.25,843.53,1116.31,1112.32,815.81,1020.89,956.72,805.97,943.88,795.26,1257.21,748.36,729.66,1084.17,1187.72,993.36,1110.20,789.26,813.53,745.11,939.97,1203.27,1306.17,3094.07,2536.05,2181.95,1400.20,1721.14,1726.79,2101.66,2049.34,1842.17,2187.20
1978,818.46,799.18,987.96,749.73,791.72,735.03,908.09,718.21,774.49,823.05,972.58,719.53,670.71,719.53,957.17,843.01,830.46,661.79,777.63,671.40,852.37,872.54,894.66,3128.06,2602.23,2171.29,1500.40,1297.49,1321.73,2164.10,2105.52,1888.83,2259.90
1979,985.25,836.91,1237.58,952.53,894.65,928.33,1056.69,825.55,925.70,925.14,1132.27,796.02,727.14,908.13,1179.04,1009.81,1036.68,798.54,919.47,747.29,1042.34,1068.15,1093.97,3087.09,2650.48,2809.20,1340.50,1755.21,1761.17,2558.31,2483.10,2211.04,2681.30
1980,837.54,776.84,996.02,794.20,850.40,769.46,945.05,715.65,843.83,805.32,1009.30,806.13,690.19,695.80,970.62,923.53,812.33,808.23,796.44,764.46,851.34,737.27,940.47,2899.94,2409.59,2323.70,1641.20,2216.23,2226.11,2432.24,2363.41,2112.13,2544.80
1981,954.98,909.48,1029.80,966.25,913.71,1003.40,1034.46,840.01,1031.85,611.61,1270.91,873.59,809.03,784.22,1139.65,1110.78,905.57,899.31,879.66,861.09,972.44,829.66,1071.73,2958.33,2541.88,2668.67,1538.70,1433.09,1461.96,2652.72,2576.34,2308.11,2777.60
