Variable:,pr
,Portugal,Aveiro,Beja,Braga,Braganca,"Castelo Branco",Coimbra,Evora,Faro,Guarda,Leiria,Lisboa,Portalegre,Porto,Santarem,Setubal,"Viana Do Castelo","Vila Real",Viseu
2004,690.79,932.55,462.65,1055.20,595.14,729.07,865.56,519.00,444.56,787.88,775.50,686.23,596.52,973.39,667.29,526.62,1150.54,876.38,930.90
2005,586.11,829.63,349.31,1055.29,579.22,610.02,747.42,381.64,357.85,692.76,604.91,490.70,447.88,900.33,503.79,386.26,1174.43,878.77,833.75
2006,1004.94,1354.68,659.66,1646.13,875.74,1035.35,1225.69,727.52,661.31,1105.78,1126.83,986.03,834.30,1473.61,962.26,756.56,1811.36,1363.89,1352.33
2007,681.62,940.87,409.36,1117.68,663.11,741.83,865.24,464.85,408.04,822.63,728.70,594.10,561.96,996.74,620.40,455.66,1218.77,966.90,963.76
2008,849.56,1140.00,584.68,1364.49,740.63,875.75,1039.66,625.10,607.55,940.30,931.82,802.61,712.84,1197.66,799.27,641.76,1500.77,1133.47,1126.75
2009,919.56,1256.13,639.98,1487.25,761.72,923.24,1132.63,670.30,688.06,970.00,1038.30,901.10,750.67,1326.74,878.49,717.52,1630.49,1223.36,1228.05
2010,1335.84,1668.79,1037.78,1833.25,987.07,1396.42,1576.46,1107.18,1097.33,1395.34,1538.93,1432.95,1220.30,1712.39,1379.73,1165.99,1977.93,1503.01,1654.03
2011,836.21,1119.93,599.11,1193.12,640.01,873.43,1056.95,649.09,629.73,874.73,1006.59,905.98,730.26,1130.76,861.01,698.57,1279.32,971.21,1081.79
2012,737.72,1039.84,491.83,1144.79,606.23,780.11,959.70,537.71,519.41,789.05,859.70,727.40,619.05,1029.77,720.19,565.37,1235.80,949.66,994.35
2013,972.33,1350.35,580.38,1694.29,873.26,1017.40,1210.01,663.22,586.45,1096.42,1091.32,920.02,787.40,1481.54,911.68,684.83,1880.52,1391.59,1339.02
2014,998.85,1348.96,645.01,1600.23,866.69,1042.37,1245.58,720.19,648.98,1093.25,1150.68,1003.21,839.20,1435.92,977.45,761.95,1766.21,1320.60,1340.20
2015,581.72,816.33,357.09,1024.57,554.90,598.32,730.66,389.76,366.01,666.14,621.26,517.03,454.45,881.34,521.57,401.37,1140.28,849.56,805.81
2016,984.18,1328.75,608.78,1661.96,913.38,1053.41,1217.20,672.31,627.15,1155.34,1063.72,893.29,801.44,1458.84,905.08,689.92,1842.05,1377.73,1357.14
2017,588.14,804.34,387.77,983.24,537.75,595.66,728.39,414.91,407.08,643.86,638.51,555.28,476.15,859.27,545.05,439.59,1094.00,805.77,794.16
2018,996.79,1308.66,642.72,1654.46,929.93,1038.94,1199.09,702.52,659.41,1159.96,1069.31,919.07,830.25,1459.71,917.27,716.45,1820.54,1393.30,1353.01
2019,691.38,1036.80,343.68,1426.70,739.48,687.38,892.42,376.03,363.84,815.79,731.25,543.81,465.86,1185.43,568.15,389.59,1603.44,1186.94,1035.70
2020,823.56,1139.36,507.19,1388.95,753.96,867.52,1038.26,558.10,518.64,952.13,915.29,757.53,663.49,1237.29,767.81,577.30,1533.37,1145.08,1144.97
2021,796.32,1171.61,410.87,1487.85,799.15,860.87,1042.83,471.13,417.77,976.02,861.79,654.17,601.82,1295.98,693.61,469.51,1649.89,1230.95,1174.11
