Variable:,pr
,Ireland,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Munster,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
1965,1249.06,1211.96,1259.46,1184.96,1294.93,1509.92,1158.16,1202.93,1448.41,1066.04,1142.42,1080.98,1430.43,1196.93,1217.98,1057.05,1307.72,1058.29,1129.07,1129.07,1044.09,1211.93,1411.57,1211.37,1328.27,1119.55,1193.94,1205.63
1966,1261.83,1235.05,1285.83,1191.29,1325.85,1498.87,1171.04,1194.71,1481.78,1066.49,1185.76,1093.07,1416.63,1206.48,1205.79,1171.89,1290.33,1119.85,1242.44,1242.44,1039.91,1185.98,1376.32,1215.32,1373.43,1119.45,1265.58,1223.44
1967,1146.59,1053.12,1143.81,1107.54,1179.01,1498.32,1042.33,1119.67,1362.28,948.08,994.73,943.25,1329.24,1093.00,1090.15,994.73,1250.35,953.52,1084.99,1084.99,926.79,1111.34,1343.58,1063.25,1152.94,987.47,1061.80,1070.50
1968,1170.55,1105.93,1130.16,1150.38,1229.70,1362.36,1040.01,1162.53,1419.15,969.10,1056.97,997.86,1318.45,1142.90,1112.01,944.25,1259.44,948.35,1006.97,1006.97,970.25,1147.94,1325.88,1126.87,1217.94,1022.90,1096.27,1089.16
1969,960.86,842.97,948.83,933.85,1025.91,1267.71,877.84,929.83,1173.26,784.39,801.22,766.76,1095.59,937.75,869.44,852.38,1045.52,815.99,895.14,895.14,753.45,888.99,1116.28,896.76,976.03,806.55,863.93,877.86
1970,1112.57,963.76,1108.05,1110.29,1155.04,1444.90,954.82,1118.90,1353.54,875.96,937.27,900.79,1287.28,1084.66,1047.37,923.14,1231.90,900.62,1027.85,1027.85,886.50,1076.76,1312.42,1039.64,1104.84,954.53,973.45,974.00
1971,859.49,762.82,820.36,821.36,917.58,1149.19,754.16,839.85,1025.56,686.09,741.73,698.27,977.01,829.11,755.94,718.65,957.01,685.73,766.54,766.54,681.12,796.38,1028.81,822.82,913.16,707.30,787.85,771.06
1972,1092.69,1074.41,1006.60,1081.27,1201.64,1302.14,958.00,1032.83,1405.85,888.30,1017.99,923.92,1185.54,1099.36,968.50,850.42,1114.99,846.31,904.11,904.11,871.57,992.93,1193.02,1069.43,1200.71,899.96,1102.65,1047.56
1973,1047.24,927.09,956.79,1082.73,1138.76,1262.44,885.93,1060.87,1311.77,821.13,898.07,849.99,1130.03,1078.37,929.37,808.42,1144.87,804.88,859.59,859.59,835.84,983.76,1164.93,1028.86,1089.79,856.73,947.23,932.37
1974,1193.23,1109.89,1123.19,1201.71,1305.35,1458.04,973.03,1173.90,1528.34,915.36,1048.40,976.33,1348.40,1198.87,1083.65,923.31,1280.17,899.88,1016.65,1016.65,939.16,1121.55,1366.46,1148.67,1237.31,979.40,1103.61,1054.85
1975,941.50,818.27,856.52,975.23,1021.67,1132.71,801.85,964.21,1201.88,736.64,792.47,766.35,1025.86,956.35,824.31,745.67,1049.52,726.04,769.13,769.13,760.25,894.78,1077.59,906.81,947.65,777.59,816.19,813.34
1976,1026.03,908.08,1003.96,978.04,1148.67,1299.07,929.19,971.84,1334.20,824.30,861.79,807.91,1173.41,1002.03,921.72,899.03,1089.36,850.30,953.56,953.56,785.18,951.66,1181.00,949.73,1048.96,848.21,921.67,934.96
1977,1184.11,1193.00,1073.82,1125.45,1323.64,1385.97,1043.04,1118.13,1485.31,956.73,1141.55,1012.01,1277.41,1153.78,1032.32,921.84,1233.64,907.68,984.92,984.92,933.92,1078.04,1311.43,1165.99,1360.34,955.98,1227.60,1153.40
1978,1113.54,1015.54,1050.77,1080.63,1236.68,1388.05,1002.69,1066.47,1412.05,905.26,970.38,900.13,1234.34,1104.71,1000.56,911.68,1194.86,888.12,966.94,966.94,859.18,1024.46,1264.46,1055.74,1177.51,913.38,1036.15,1041.04
1979,1213.76,1067.82,1138.27,1243.02,1335.16,1468.77,1052.79,1199.26,1570.07,962.61,1039.94,988.48,1323.01,1240.25,1084.72,982.17,1297.75,961.06,1044.15,1044.15,961.79,1121.26,1360.95,1172.80,1238.10,1007.39,1076.25,1072.75
1980,1244.68,1133.68,1177.08,1217.23,1369.16,1492.23,1103.58,1219.71,1586.59,1005.21,1099.65,1030.49,1367.87,1217.23,1109.36,1026.94,1333.51,997.34,1092.61,1092.61,1001.36,1169.52,1400.05,1185.46,1305.77,1043.25,1150.13,1136.73
1981,1178.75,1098.33,1136.27,1117.94,1276.56,1481.10,1072.22,1125.82,1440.11,967.91,1052.37,966.21,1320.54,1139.93,1067.09,1014.14,1282.23,957.99,1081.66,1081.66,919.97,1097.69,1363.02,1112.99,1254.64,978.14,1123.54,1111.17
