Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","752","Sweden","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","101.1592","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","101.2542","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","101.3153","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","100.3924","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","101.6851","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","101.2135","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","100.691","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","101.1355","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","101.0812","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","101.6478","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","102.0923","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","102.7641","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","102.781","X","Figure from international organizations","base year is 2015"
