Key,T°C
France1921,11.2
France1922,9.84
France1923,10.59
France1924,10.18
France1925,10.11
France1926,10.85
France1927,10.5
France1928,10.96
France1929,10.24
France1930,10.87
France1931,9.97
France1932,10.27
France1933,10.21
France1934,10.98
France1935,10.44
France1936,10.48
France1937,10.87
France1938,10.5
France1939,10.33
France1940,9.7
France1941,9.78
France1942,10.24
France1943,11.26
France1944,10.42
France1945,11.23
France1946,10.55
France1947,11.35
France1948,11.03
France1949,11.43
France1950,10.91
France1951,10.53
France1952,10.7
France1953,10.69
France1954,10.2
France1955,10.64
France1956,9.74
France1957,10.63
France1958,10.61
France1959,11.41
France1960,10.65
France1961,11.34
France1962,9.81
France1963,9.42
France1964,10.46
France1965,10.01
France1966,10.76
France1967,10.68
France1968,10.3
France1969,10.26
France1970,10.37
France1971,10.41
France1972,10.08
France1973,10.39
France1974,10.67
France1975,10.58
France1976,10.91
France1977,10.58
France1978,10.1
France1979,10.33
France1980,9.9
France1981,10.62
France1982,11.31
France1983,11.07
France1984,10.36
France1985,10.04
France1986,10.34
France1987,10.2
France1988,11.12
France1989,11.71
France1990,11.73
France1991,10.75
France1992,11.07
France1993,10.76
France1994,11.97
France1995,11.56
